"","ID_HIP","candidato","id_simbad","HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","B.V"
"1",2360,1,165,22524,"4,846818","16,210455","19,3","83,97","-24,87","7,29","0,536"
"2",2368,1,106,20357,"4,359665","14,409789","19,46","105,19","-19,11","6,6","0,412"
"3",2371,1,169,19934,"4,275966","21,907469","19,48","105,61","-37,59","9,14","0,813"
"4",2373,1,162,20349,"4,358791","21,039877","19,55","105,2","-36","6,79","0,434"
"5",2384,1,145,20350,"4,358964","18,417582","19,83","111,05","-31,69","6,8","0,441"
"6",2385,1,158,21008,"4,504992","19,840576","19,94","94,9","-28,3","7,09","0,47"
"7",2387,1,113,20082,"4,305354","16,088341","20,01","121,88","-19,72","9,57","0,98"
"8",2391,1,174,20491,"4,391778","24,405402","20,04","93,11","-45,08","7,18","0,462"
"9",2394,1,170,22550,"4,853482","11,068026","20,15","87,6","-8,72","6,79","0,543"
"10",2404,1,19,20916,"4,483270","16,159092","20,58","90,28","-25,47","6,59","0,536"
"11",2405,1,163,20480,"4,389536","21,379095","20,63","99,77","-39,07","8,84","0,758"
"12",2406,1,10,20885,"4,476249","15,962181","20,66","104,76","-15,01","3,84","0,952"
"13",2406,1,11,20885,"4,476249","15,962181","20,66","104,76","-15,01","3,84","0,952"
"14",2407,1,45,20577,"4,407868","16,886166","20,73","110,89","-24,72","7,79","0,599"
"15",2415,1,156,20889,"4,476944","19,180432","21,04","107,23","-36,77","3,53","1,014"
"16",2415,1,157,20889,"4,476944","19,180432","21,04","107,23","-36,77","3,53","1,014"
"17",2418,1,167,19796,"4,242873","10,701388","21,08","119,81","-5,22","7,11","0,514"
"18",2420,1,70,20899,"4,480082","17,285464","21,09","105,58","-30,05","7,83","0,609"
"19",2423,1,85,20205,"4,329890","15,627642","21,17","115,29","-23,86","3,65","0,981"
"20",2423,1,86,20205,"4,329890","15,627642","21,17","115,29","-23,86","3,65","0,981"
"21",2427,1,65,20492,"4,392314","14,670478","21,23","107,57","-18,24","9,11","0,855"
"22",2430,1,160,19261,"4,128329","15,162788","21,27","127,06","-22,75","6,02","0,397"
"23",2432,1,104,20455,"4,382248","17,542514","21,29","107,75","-28,84","3,77","0,983"
"24",2432,1,105,20455,"4,382248","17,542514","21,29","107,75","-28,84","3,77","0,983"
"25",2444,1,29,20741,"4,444478","16,746899","21,42","110,29","-27,82","8,1","0,664"
"26",2446,1,5,20661,"4,427033","15,941010","21,47","104,62","-28,83","6,44","0,509"
"27",2449,1,182,28614,"6,039722","9,647277","21,49","14,19","-37,44","4,12","0,17"
"28",2451,1,164,20712,"4,438472","21,470434","21,54","105,82","-36,48","7,36","0,557"
"29",2453,1,115,20948,"4,491764","17,863163","21,59","105,72","-32,56","6,9","0,451"
"30",2455,1,180,15310,"3,292439","7,690152","21,64","170,41","-7,48","7,78","0,617"
"31",2465,1,6,20815,"4,459969","15,589188","21,83","103,54","-25,16","7,41","0,537"
"32",2470,1,154,19781,"4,240458","14,625035","21,91","105,61","-19,86","8,45","0,693"
"33",2473,1,177,20693,"4,432594","5,150145","22,03","96,32","4,55","7,36","0,509"
"34",2486,1,142,19877,"4,262857","15,400695","22,51","114,38","-22,07","6,31","0,4"
"35",2490,1,171,21459,"4,608094","23,340855","22,6","109,97","-53,86","6,01","0,38"
"36",2497,1,149,21267,"4,562956","13,251883","22,8","101,77","-17,93","6,62","0,429"
"37",2500,1,161,21066,"4,515881","10,751768","22,96","104,19","-10,52","7,03","0,472"
"38",2502,1,127,21474,"4,611312","15,869329","22,99","93,78","-23,02","6,64","0,442"
"39",2508,1,172,23214,"4,995645","15,916734","23,09","87,21","-29,19","6,75","0,45"
"40",2509,1,176,21152,"4,534669","5,410035","23,13","114,15","6,17","6,37","0,42"
"41",2510,1,101,21317,"4,576475","15,504620","23,19","100,66","-28,04","7,9","0,631"
"42",2511,1,159,19504,"4,178435","18,423253","23,22","123,92","-31,41","6,61","0,427"
"43",2513,1,91,20935,"4,489043","17,544935","23,25","104,88","-31,65","7,02","0,526"
"44",2514,1,96,20215,"4,331905","16,522588","23,27","121,27","-36,65","6,85","0,509"
"45",2530,1,168,22607,"4,863886","13,655155","23,91","106,84","-16","6,3","0,502"
"46",2537,1,173,18170,"3,886124","17,327083","24,14","143,97","-29,93","5,97","0,354"
"47",2539,1,116,20951,"4,492113","17,893182","24,19","107","-33,31","8,95","0,831"
"48",2540,1,31,21053,"4,512999","16,148696","24,28","98,2","-22,75","6,5","0,428"
"49",2545,1,166,20557,"4,404049","21,736244","24,47","119,1","-46,63","7,13","0,518"
"50",2559,1,175,18658,"3,994582","10,330402","25,42","133,06","-3,5","6,35","0,417"
"51",2564,1,178,19554,"4,188967","5,523047","25,89","146,86","5","5,71","0,36"
"52",2571,1,58,20441,"4,379106","16,791040","26,96","173,3","4,67","7,86","0,677"
"53",2603,1,181,13834,"2,968117","20,668733","31,41","234,79","-31,64","5,8","0,415"
