"","ID_tycho","candidato","id_simbad","N","RA_J2000_24","DE_J2000","pmRA","pmDE","BT","VT","V","B.V","HD","HIP"
"1",419,1,179,419,3.731761,3.446354,123.7,36.7,10.098,9.049,8.955,0.892,23261,NA
"2",897,1,178,897,4.188967,5.523048,147.2,5.3,6.132,5.748,5.713,0.326,26462,19554
"3",979,1,177,979,4.432594,5.15014,95.4,3,7.969,7.408,7.358,0.477,28069,20693
"4",1053,1,176,1053,4.534669,5.410036,109.9,6.3,6.867,6.411,6.37,0.388,28736,21152
"5",4293,1,175,4293,3.994582,10.330398,135.9,-5.1,6.841,6.395,6.355,0.379,25102,18658
"6",4688,1,167,4688,4.242873,10.701385,124.5,-5.9,7.714,7.164,7.115,0.468,26784,19796
"7",4760,1,161,4760,4.515881,10.751767,102.6,-10.8,7.603,7.089,7.043,0.437,28608,21066
"8",4970,1,154,4970,4.240459,14.625039,108,-18.3,9.31,8.521,8.45,0.671,26756,19781
"9",4982,1,65,4982,4.392315,14.670474,110.6,-18.8,10.266,9.17,9.071,0.932,27771,20492
"10",5017,1,106,5017,4.359665,14.409794,102.5,-17.6,7.084,6.637,6.597,0.38,27561,20357
"11",5034,1,149,5034,4.562956,13.251875,103.6,-21.3,7.128,6.663,6.621,0.395,28911,21267
"12",5514,1,170,5514,4.853481,11.068015,84.3,-13.5,7.425,6.813,6.758,0.52,30810,22550
"13",8005,1,182,8005,6.03972,9.647285,0.9,-38.6,4.347,4.15,4.132,0.167,40932,28614
"14",9918,1,160,9918,4.128329,15.162795,132.1,-19.5,6.514,6.097,6.059,0.354,26015,19261
"15",9959,1,142,9959,4.262856,15.4007,112.1,-19.6,6.779,6.346,6.307,0.368,26911,19877
"16",10038,1,173,10038,3.886125,17.327088,148.2,-27.9,6.37,6.002,5.969,0.313,24357,18170
"17",10104,1,159,10104,4.178434,18.423254,121.3,-31.2,7.095,6.642,6.601,0.385,26345,19504
"18",10452,1,96,10452,4.331904,16.522619,114,-23.9,7.53,6.918,6.863,0.52,27383,20215
"19",10456,1,113,10456,4.305352,16.088335,117.1,-24.6,10.65,9.644,9.553,0.855,285690,20082
"20",10470,1,85,10470,4.329891,15.627647,123.8,-22.2,4.905,3.757,3.654,0.976,27371,20205
"21",10470,1,86,10470,4.329891,15.627647,123.8,-22.2,4.905,3.757,3.654,0.976,27371,20205
"22",10482,1,7,10482,4.434961,15.524333,109.7,-24.3,8.14,7.527,7.472,0.521,28034,NA
"23",10483,1,29,10483,4.444478,16.746893,105.8,-29.7,8.952,8.172,8.102,0.663,28099,20741
"24",10502,1,31,10502,4.513,16.148686,105,-27.2,7.027,6.548,6.505,0.407,28568,21053
"25",10505,1,19,10505,4.48327,16.159091,102.6,-22.8,7.236,6.64,6.586,0.507,28363,20916
"26",10510,1,6,10510,4.45997,15.58919,106.2,-24,8.067,7.463,7.409,0.513,28205,20815
"27",10516,1,10,10516,4.47625,15.962162,108.9,-22.6,5.054,3.947,3.847,0.941,28307,20885
"28",10516,1,11,10516,4.47625,15.962162,108.9,-22.6,5.054,3.947,3.847,0.941,28307,20885
"29",10517,1,5,10517,4.427033,15.941023,107.1,-23.8,7.034,6.5,6.452,0.454,27991,20661
"30",10537,1,101,10537,4.576474,15.504628,96.3,-25.3,8.672,7.978,7.916,0.59,28992,21317
"31",10565,1,127,10565,4.611312,15.869325,96.4,-23.8,7.159,6.68,6.637,0.407,29225,21474
"32",10567,1,67,10567,4.549847,15.81897,93.7,-24.7,9.565,8.734,8.659,0.706,28805,NA
"33",10608,1,145,10608,4.358964,18.417584,113.5,-30.8,7.334,6.856,6.813,0.406,27534,20350
"34",10631,1,104,10631,4.382248,17.542502,105.8,-34.3,5.024,3.868,3.764,0.983,27697,20455
"35",10631,1,105,10631,4.382248,17.542502,105.8,-34.3,5.024,3.868,3.764,0.983,27697,20455
"36",10633,1,70,10633,4.480083,17.285466,111.5,-30,8.557,7.904,7.845,0.555,28344,20899
"37",10644,1,91,10644,4.489042,17.544934,104.6,-31.9,7.614,7.058,7.008,0.473,28394,20935
"38",10653,1,115,10653,4.491764,17.863161,107.7,-33.2,7.445,6.947,6.902,0.423,28406,20948
"39",10655,1,116,10655,4.492113,17.893187,103.2,-32.8,9.984,9.059,8.976,0.786,285773,20951
"40",10677,1,45,10677,4.407868,16.886169,112.4,-24.4,8.498,7.872,7.816,0.532,27859,20577
"41",10853,1,158,10853,4.504992,19.840559,92.5,-35.4,7.665,7.149,7.103,0.439,28483,21008
"42",10866,1,156,10866,4.476944,19.18043,107.7,-37.3,4.834,3.647,3.54,1.009,28305,20889
"43",10866,1,157,10866,4.476944,19.18043,107.7,-37.3,4.834,3.647,3.54,1.009,28305,20889
"44",11003,1,169,11003,4.275966,21.907463,105.1,-39.6,10.143,9.197,9.112,0.804,284253,19934
"45",11006,1,162,11006,4.358792,21.039875,105.7,-36.8,7.306,6.837,6.795,0.399,27524,20349
"46",11021,1,163,11021,4.389536,21.379107,100.6,-35.9,9.754,8.928,8.854,0.702,27732,20480
"47",11067,1,166,11067,4.404049,21.736246,121.2,-45.8,7.756,7.181,7.129,0.489,27808,20557
"48",11069,1,164,11069,4.438472,21.470432,107.1,-37.7,8,7.403,7.349,0.507,28033,20712
"49",11261,1,165,11261,4.846818,16.210451,83.8,-26.5,7.891,7.318,7.266,0.487,30738,22524
"50",11291,1,172,11291,4.995645,15.91673,86.9,-30.6,7.295,6.803,6.759,0.418,31845,23214
"51",15297,1,174,15297,4.391778,24.405407,94.5,-43.1,7.715,7.227,7.183,0.415,27731,20491
"52",15369,1,171,15369,4.608093,23.340858,106.2,-52.6,6.473,6.065,6.028,0.347,29169,21459
