"","fila","columna","RA_J2001","DE_J2001","RA_J2000","DE_J2000"
"1",2446,2661,"4.427033","15.94101","4.42703","15.9410"
"2",2465,2662,"4.459969","15.589188","4.45997","15.5892"
"3",2430,2816,"4.128329","15.162788","4.12833","15.1628"
"4",2406,2666,"4.476249","15.962181","4.47625","15.9622"
"5",2406,2667,"4.476249","15.962181","4.47625","15.9622"
"6",2406,2666,"4.476249","15.962181","4.47625","15.9622"
"7",2406,2667,"4.476249","15.962181","4.47625","15.9622"
"8",2666,2667,"4.47625","15.9622","4.47625","15.9622"
"9",2741,2742,"4.32989","15.6276","4.32989","15.6276"
"10",2760,2761,"4.38225","17.5425","4.38225","17.5425"
"11",2812,2813,"4.47694","19.1804","4.47694","19.1804"
"12",2404,2675,"4.48327","16.159092","4.48327","16.1591"
"13",2444,2685,"4.444478","16.746899","4.44448","16.7469"
"14",2540,2687,"4.512999","16.148696","4.51300","16.1487"
"15",2407,2701,"4.407868","16.886166","4.40787","16.8862"
"16",2451,2820,"4.438472","21.470434","4.43847","21.4704"
"17",2571,2714,"4.379106","16.79104","4.37910","16.7910"
"18",2427,2721,"4.392314","14.670478","4.39231","14.6705"
"19",2420,2726,"4.480082","17.285464","4.48008","17.2855"
"20",2423,2741,"4.32989","15.627642","4.32989","15.6276"
"21",2423,2742,"4.32989","15.627642","4.32989","15.6276"
"22",2423,2741,"4.32989","15.627642","4.32989","15.6276"
"23",2423,2742,"4.32989","15.627642","4.32989","15.6276"
"24",2666,2667,"4.47625","15.9622","4.47625","15.9622"
"25",2741,2742,"4.32989","15.6276","4.32989","15.6276"
"26",2760,2761,"4.38225","17.5425","4.38225","17.5425"
"27",2812,2813,"4.47694","19.1804","4.47694","19.1804"
"28",2513,2747,"4.489043","17.544935","4.48904","17.5449"
"29",2514,2752,"4.331905","16.522588","4.33190","16.5226"
"30",2510,2757,"4.576475","15.50462","4.57647","15.5046"
"31",2432,2760,"4.382248","17.542514","4.38225","17.5425"
"32",2432,2761,"4.382248","17.542514","4.38225","17.5425"
"33",2432,2760,"4.382248","17.542514","4.38225","17.5425"
"34",2432,2761,"4.382248","17.542514","4.38225","17.5425"
"35",2666,2667,"4.47625","15.9622","4.47625","15.9622"
"36",2741,2742,"4.32989","15.6276","4.32989","15.6276"
"37",2760,2761,"4.38225","17.5425","4.38225","17.5425"
"38",2812,2813,"4.47694","19.1804","4.47694","19.1804"
"39",2368,2762,"4.359665","14.409789","4.35967","14.4098"
"40",2387,2769,"4.305354","16.088341","4.30535","16.0883"
"41",2453,2771,"4.491764","17.863163","4.49176","17.8632"
"42",2539,2772,"4.492113","17.893182","4.49211","17.8932"
"43",2502,2783,"4.611312","15.869329","4.61131","15.8693"
"44",2486,2798,"4.262857","15.400695","4.26286","15.4007"
"45",2384,2801,"4.358964","18.417582","4.35896","18.4176"
"46",2497,2805,"4.562956","13.251883","4.56296","13.2519"
"47",2470,2810,"4.240458","14.625035","4.24046","14.6250"
"48",2415,2812,"4.476944","19.180432","4.47694","19.1804"
"49",2415,2813,"4.476944","19.180432","4.47694","19.1804"
"50",2415,2812,"4.476944","19.180432","4.47694","19.1804"
"51",2415,2813,"4.476944","19.180432","4.47694","19.1804"
"52",2666,2667,"4.47625","15.9622","4.47625","15.9622"
"53",2741,2742,"4.32989","15.6276","4.32989","15.6276"
"54",2760,2761,"4.38225","17.5425","4.38225","17.5425"
"55",2812,2813,"4.47694","19.1804","4.47694","19.1804"
"56",2385,2814,"4.504992","19.840576","4.50499","19.8406"
"57",2511,2815,"4.178435","18.423253","4.17843","18.4233"
"58",2465,2662,"4.459969","15.589188","4.45997","15.5892"
"59",2430,2816,"4.128329","15.162788","4.12833","15.1628"
"60",2500,2817,"4.515881","10.751768","4.51588","10.7518"
"61",2373,2818,"4.358791","21.039877","4.35879","21.0399"
"62",2405,2819,"4.389536","21.379095","4.38954","21.3791"
"63",2407,2701,"4.407868","16.886166","4.40787","16.8862"
"64",2451,2820,"4.438472","21.470434","4.43847","21.4704"
"65",2360,2821,"4.846818","16.210455","4.84682","16.2105"
"66",2545,2822,"4.404049","21.736244","4.40405","21.7362"
"67",2418,2823,"4.242873","10.701388","4.24287","10.7014"
"68",2530,2824,"4.863886","13.655155","4.86389","13.6552"
"69",2473,2833,"4.432594","5.150145","4.43259"," 5.1501"
"70",2371,2825,"4.275966","21.907469","4.27597","21.9075"
"71",2394,2826,"4.853482","11.068026","4.85348","11.0680"
"72",2490,2827,"4.608094","23.340855","4.60809","23.3409"
"73",2508,2828,"4.995645","15.916734","4.99565","15.9167"
"74",2537,2829,"3.886124","17.327083","3.88612","17.3271"
"75",2391,2830,"4.391778","24.405402","4.39178","24.4054"
"76",2559,2831,"3.994582","10.330402","3.99458","10.3304"
"77",2509,2832,"4.534669","5.410035","4.53467"," 5.4100"
"78",2530,2824,"4.863886","13.655155","4.86389","13.6552"
"79",2473,2833,"4.432594","5.150145","4.43259"," 5.1501"
"80",2564,2834,"4.188967","5.523047","4.18897"," 5.5230"
"81",2455,2836,"3.292439","7.690152","3.29244"," 7.6902"
"82",2603,2837,"2.968117","20.668733","2.96812","20.6687"
"83",2449,2838,"6.039722","9.647277","6.03972"," 9.6473"
